source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Variety'}",Jem Aswad,"Olivia Rodrigo, Cameron Winter, Wet Leg and More Unveil New Songs on War Child’s Stellar ‘Help(2)’ Benefit Compilation: Album Review","The first “War Child,” a British-all-star charity album featuring rare tracks from such then-rising-ish stars as Oasis, Radiohead, Blur, Portishead and Massive Attack as well as Sinead O’Connor, Suede and the Stone Roses, arrived in September of 1995 — so lon…",https://variety.com/2026/music/reviews/olivia-rodrigo-cameron-winter-war-child-help2-album-review-1236681030/,https://variety.com/wp-content/uploads/2026/03/Screenshot-2026-03-06-at-11.17.26-AM-e1772813971371.png?w=1000&h=563&crop=1,2026-03-06T16:21:41Z,"The first “War Child,” a British-all-star charity album featuring rare tracks from such then-rising-ish stars as Oasis, Radiohead, Blur, Portishead and Massive Attack as well as Sinead O’Connor, Sued… [+4201 chars]"
"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Al Jazeera Staff,"Israel extending ‘Gaza playbook’ to Lebanon, charity warns",Medical Aid for Palestinians accuses Israel of 'deliberately terrorising civilian populations' across Lebanon.,https://www.aljazeera.com/news/2026/3/6/israel-extending-gaza-playbook-to-lebanon-charity-warns,https://www.aljazeera.com/wp-content/uploads/2026/03/afp_69aaf37d35be-1772811133.jpg?resize=1920%2C1440,2026-03-06T16:21:39Z,"Israel is exporting its Gaza playbook to Lebanon, a nonprofit group has warned, as the Israeli military continues to attack the country after ordering the forced displacement of hundreds of thousands… [+2980 chars]"
"{'id': 'cbs-news', 'name': 'CBS News'}",CBS News,Expert warns Iran war is risky and could last a long time,"Robert Pape, a University of Chicago political science professor who studies the risks of conflict with Iran, is warning that the conflict could be long and arduous. Pape joins CBS News with his insight.",https://www.cbsnews.com/video/expert-warns-iran-war-is-risky-and-could-last-a-long-time/,https://assets2.cbsnewsstatic.com/hub/i/r/2026/03/06/c5b43b4f-28dc-40f5-b3a0-da1b062102d2/thumbnail/1200x630/0afbbffa93b76cd23a1b744d71340429/cbsn-fusion-expert-warns-iran-war-is-risky-and-could-last-a-long-time-thumbnail.jpg,2026-03-06T16:21:00Z,Copyright ©2026 CBS Interactive Inc. All rights reserved.
"{'id': None, 'name': 'Sky.com'}",Deborah Haynes,"Foreign Office was told by UK ambassador in Israel an attack on Iran was ""highly likely"" weeks ago","Ameer Kotecha said the prime minister and his cabinet failed to take sufficient action to defend British interests in the Middle East and Cyprus, blaming the lack of preparedness for war on decades of defence cuts.",https://news.sky.com/story/foreign-office-was-told-by-uk-ambassador-in-israel-an-attack-on-iran-was-highly-likely-weeks-ago-13516200,https://e3.365dm.com/26/03/1600x900/skynews-tehran-iran-israel_7184406.jpg?20260306170450,2026-03-06T16:21:00Z,"The UK's ambassador to Israel alerted London weeks in advance that an attack on Iran by US and Israeli forces was ""highly likely"", a former diplomat at the embassy has revealed.
Ameer Kotecha, who q… [+5487 chars]"
"{'id': None, 'name': 'BusinessLine'}",Aditya  Sinha,The chokepoint that cannot be routed around,"The current Middle East conflict has led to an energy chokepoint crisis, where governments, insurance clubs and pricing benchmarks dictate the terms",https://www.thehindubusinessline.com/opinion/the-chokepoint-that-cannot-be-routed-around/article70712800.ece,https://bl-i.thgim.com/public/incoming/2yv8dr/article70712809.ece/alternates/LANDSCAPE_1200/BL12_Think_LNG_tanker_ship.jpg,2026-03-06T16:18:45Z,"On March 23, 2021, the MV Ever Given ran aground in the Suez Canal and stayed there for six days. The ship was 400 metres long; the canal at its narrowest is 205 metres wide. Roughly $9.6 billion in … [+5407 chars]"
"{'id': None, 'name': 'Worldconstructionnetwork.com'}",GlobalData,Confidence in Italy’s construction industry improves in February 2026,"According to the Istat, the construction cost index for residential buildings rose by 2.3% YoY in December 2025.",https://www.worldconstructionnetwork.com/analyst-comment/confidence-in-italy-construction-industry/,https://s.yimg.com/ny/api/res/1.2/tr4LhNPLqqwAHJGyf5bXBQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTg-/https://media.zenfs.com/en/world_construction_network_914/f2f2ccd16d87609be7d4285e9f94191a,2026-03-06T16:17:35Z,"According to preliminary data from the Italian National Institute of Statistics (Istat), consumer price inflation in Italy increased to its highest level in five months, in February 2026; it rose fro… [+3885 chars]"
"{'id': None, 'name': 'POLITICO.eu'}","Gabriel Gavin, Gerardo Fortuna, Elena Giordano",Von der Leyen doubles down in face of energy crisis criticism,EU member countries have been spooked by stubbornly high prices and a new war in the Middle East.,https://www.politico.eu/article/eu-ursula-von-der-leyen-double-downs-in-face-of-energy-crisis-criticism/,"https://www.politico.eu/cdn-cgi/image/width=1200,height=630,fit=crop,quality=80,onerror=redirect/wp-content/uploads/2026/03/06/GettyImages-2263863669-scaled.jpg",2026-03-06T16:17:29Z,"There is criticism and concerns coming from member states, but at the leaders retreat [last month in the Belgian countryside] they asked the Commission to come up with solutions on energy, said one E… [+1884 chars]"
"{'id': None, 'name': 'BBC News'}",,Israeli troops push into Lebanon for yet another war with Iran's proxy Hezbollah,"The BBC sees troops and tanks massing near the border, as speculation mounts that Israel is planning a full-scale ground invasion to fight Hezbollah.",https://www.bbc.com/news/articles/cpv8xlvk3p4o,https://ichef.bbci.co.uk/news/1024/branded_news/9217/live/f919f380-1958-11f1-a18b-234b2225fd29.jpg,2026-03-06T16:16:05Z,"But just days into this latest conflict, the mood in Israel - basking in the military partnership with Donald Trump - is already breathlessly looking to a new future, and a new Middle East, prompting… [+98 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,Russia is providing Iran intelligence to target US forces: Report,Russia is reportedly sharing intelligence on US military assets with Iran. This comes as tensions escalate in the Middle East. Iran has launched retaliatory strikes following recent attacks. The conflict has impacted regional stability and led to US military …,https://economictimes.indiatimes.com/news/defence/russia-is-providing-iran-intelligence-to-target-us-forces-report/articleshow/129165480.cms,"https://img.etimg.com/thumb/msid-129165680,width-1200,height-630,imgsize-69246,overlay-etdefence/articleshow.jpg",2026-03-06T16:15:27Z,"Russia is providing Iran with targeting information that includes locations of U.S. warships and aircraft in the Middle East, the Washington Post reported on Friday, citing three officials familiar w… [+1715 chars]"
"{'id': None, 'name': 'The Conversation Africa'}","Benjamin Quail, Lecturer in US Cultural and Social History, Queen's University Belfast",What Keir Starmer can learn from ‘little creep’ Harold Wilson in dealing with an angry US president,Wilson clashed with Lyndon B. Johnson on a personal level but made sure that the US and UK still cooperated where it most mattered.,https://theconversation.com/what-keir-starmer-can-learn-from-little-creep-harold-wilson-in-dealing-with-an-angry-us-president-277695,https://images.theconversation.com/files/722538/original/file-20260306-57-rqofyh.jpg?ixlib=rb-4.1.0&rect=0%2C1237%2C7411%2C3705&q=45&auto=format&w=1356&h=668&fit=crop,2026-03-06T16:15:10Z,"Starmer speaks to French president Emmanuel Macron and German chancellor Fredrich Merz about the situation in the Middle East. Number 10/Flickr, CC BY
The Anglo-American “special relationship” has h… [+5591 chars]"
